Sl No,Tilt,g,length,Mass Flow Rate,Density,Ta,Ts,Temp Avg,beta,Pr,v,D_Ap,A_Ap,Area_Tube,Conv Loss,Nu_c,h_Con,,
43,0,9.81,0.5,0.3,0.6,300,823,561.5,0.001780944,0.7,0.00004765,0.5,0.19635,3.444845,14608.5,97.97466074,8.108382923,,
44,-15,9.81,0.5,0.3,0.6,300,823,561.5,0.001780944,0.7,0.00004765,0.5,0.19635,3.444845,15307.7,102.6639774,8.496470772,,
45,-30,9.81,0.5,0.3,0.6,300,823,561.5,0.001780944,0.7,0.00004765,0.5,0.19635,3.444845,14397.3,96.55820811,7.991157303,,
46,-45,9.81,0.5,0.3,0.6,300,823,561.5,0.001780944,0.7,0.00004765,0.5,0.19635,3.444845,13682.6,91.76493775,7.594466248,,
47,-60,9.81,0.5,0.3,0.6,300,823,561.5,0.001780944,0.7,0.00004765,0.5,0.19635,3.444845,12434.3,83.39297834,6.901602887,,
48,-75,9.81,0.5,0.3,0.6,300,823,561.5,0.001780944,0.7,0.00004765,0.5,0.19635,3.444845,10542.7,70.70660614,5.851678724,,
49,-90,9.81,0.5,0.3,0.6,300,823,561.5,0.001780944,0.7,0.00004765,0.5,0.19635,3.444845,9003.38,60.38286621,4.997286008,,
50,0,9.81,0.5,0.3,0.6,300,873,586.5,0.00170503,0.7,0.00004765,0.5,0.19635,3.444845,15936.5,97.55469095,8.073626223,,
51,-15,9.81,0.5,0.3,0.6,300,873,586.5,0.00170503,0.7,0.00004765,0.5,0.19635,3.444845,16426.1,100.5517591,8.321663583,,
52,-30,9.81,0.5,0.3,0.6,300,873,586.5,0.00170503,0.7,0.00004765,0.5,0.19635,3.444845,15771.7,96.54587389,7.990136523,,
53,-45,9.81,0.5,0.3,0.6,300,873,586.5,0.00170503,0.7,0.00004765,0.5,0.19635,3.444845,14967.8,91.62482999,7.58287093,,
54,-60,9.81,0.5,0.3,0.6,300,873,586.5,0.00170503,0.7,0.00004765,0.5,0.19635,3.444845,13569.1,83.06274006,6.874272367,,
55,-75,9.81,0.5,0.3,0.6,300,873,586.5,0.00170503,0.7,0.00004765,0.5,0.19635,3.444845,11509.2,70.45313896,5.83070178,,
56,-90,9.81,0.5,0.3,0.6,300,873,586.5,0.00170503,0.7,0.00004765,0.5,0.19635,3.444845,9918.67,60.71676883,5.024919788,,
57,0,9.81,0.5,0.3,0.6,300,923,611.5,0.001635323,0.7,0.00004765,0.5,0.19635,3.444845,17334.8,97.59793323,8.077204954,,
58,-15,9.81,0.5,0.3,0.6,300,923,611.5,0.001635323,0.7,0.00004765,0.5,0.19635,3.444845,17904.4,100.8048801,8.342611878,,
59,-30,9.81,0.5,0.3,0.6,300,923,611.5,0.001635323,0.7,0.00004765,0.5,0.19635,3.444845,17131.7,96.45444498,7.982569866,,
60,-45,9.81,0.5,0.3,0.6,300,923,611.5,0.001635323,0.7,0.00004765,0.5,0.19635,3.444845,16219.7,91.31972666,7.557620578,,
61,-60,9.81,0.5,0.3,0.6,300,923,611.5,0.001635323,0.7,0.00004765,0.5,0.19635,3.444845,14708,82.80859323,6.853239176,,
62,-75,9.81,0.5,0.3,0.6,300,923,611.5,0.001635323,0.7,0.00004765,0.5,0.19635,3.444845,12397.4,69.79951413,5.776607789,,
63,-90,9.81,0.5,0.3,0.6,300,923,611.5,0.001635323,0.7,0.00004765,0.5,0.19635,3.444845,10783.2,60.71128791,5.024466187,,
64,0,9.81,0.5,0.3,0.6,300,973,636.5,0.001571092,0.7,0.00004765,0.5,0.19635,3.444845,18683.7,97.37728313,8.058943952,,
65,-15,9.81,0.5,0.3,0.6,300,973,636.5,0.001571092,0.7,0.00004765,0.5,0.19635,3.444845,19345.8,100.8280717,8.344531217,,
66,-30,9.81,0.5,0.3,0.6,300,973,636.5,0.001571092,0.7,0.00004765,0.5,0.19635,3.444845,18480.6,96.31874943,7.971339703,,
67,-45,9.81,0.5,0.3,0.6,300,973,636.5,0.001571092,0.7,0.00004765,0.5,0.19635,3.444845,17462.6,91.01305119,7.532240116,,
68,-60,9.81,0.5,0.3,0.6,300,973,636.5,0.001571092,0.7,0.00004765,0.5,0.19635,3.444845,15791.9,82.30555605,6.811607818,,
69,-75,9.81,0.5,0.3,0.6,300,973,636.5,0.001571092,0.7,0.00004765,0.5,0.19635,3.444845,13249.1,69.05277659,5.714807791,,
70,-90,9.81,0.5,0.3,0.6,300,973,636.5,0.001571092,0.7,0.00004765,0.5,0.19635,3.444845,11554.2,60.21915385,4.983737173,,
71,-25,9.81,0.5,0.05,0.6,300,580.8092748,440.4046374,0.002270639,0.7,0.00004765,0.5,0.19635,3.444845,7611,95.06925843,7.867931827,,
72,-25,9.81,0.5,0.1,0.6,300,554.0531939,427.026597,0.002341775,0.7,0.00004765,0.5,0.19635,3.444845,6775,93.53937693,7.741318834,,
73,-25,9.81,0.5,0.2,0.6,300,538.2427824,419.1213912,0.002385944,0.7,0.00004765,0.5,0.19635,3.444845,6288,92.57689546,7.661663868,,
74,-25,9.81,0.5,0.3,0.6,300,532.5672501,416.2836251,0.002402208,0.7,0.00004765,0.5,0.19635,3.444845,6135,92.52856813,7.657664298,,
75,-25,9.81,0.5,0.4,0.6,300,529.5014492,414.7507246,0.002411087,0.7,0.00004765,0.5,0.19635,3.444845,6044,92.3738098,7.644856499,,
76,-25,9.81,0.5,0.5,0.6,300,527.6619686,413.8309843,0.002416445,0.7,0.00004765,0.5,0.19635,3.444845,5983,92.18034903,7.628845686,,
77,-25,9.81,0.5,0.6,0.6,300,526.4153785,413.2076892,0.00242009,0.7,0.00004765,0.5,0.19635,3.444845,5922,91.74286826,7.592639778,,
78,-25,9.81,0.5,0.7,0.6,300,525.524957,412.7624785,0.002422701,0.7,0.00004765,0.5,0.19635,3.444845,5922,92.10508904,7.622617169,,
79,-25,9.81,0.5,0.8,0.6,300,524.8419385,412.4209693,0.002424707,0.7,0.00004765,0.5,0.19635,3.444845,5891,91.90127445,7.605749474,,
80,-25,9.81,0.5,0.9,0.6,300,524.3107019,412.155351,0.00242627,0.7,0.00004765,0.5,0.19635,3.444845,5861,91.64980796,7.584938107,,
81,-25,9.81,0.5,1,0.6,300,523.8917936,411.9458968,0.002427503,0.7,0.00004765,0.5,0.19635,3.444845,5841,91.50795777,7.573198585,,
